,measurement,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12,S13,S14,S15,S16,S17,S18,S19,S20,S21,S22,S23,S24,S25,S26,S27,S28,S29,S30,WALKING,WALKING_UPSTAIRS,WALKING_DOWNSTAIRS,SITTING,STANDING,LAYING
11,tBodyGyro-mean()-Y,-0.088072273,-0.056842019,-0.074356531,-0.078722991,-0.077431645,-0.07061291,-0.064607711,-0.09107751,-0.072988431,-0.084640367,-0.058227577,-0.059202733,-0.061661379,-0.095492115,-0.075878846,-0.07244448,-0.082710926,-0.06782001,-0.06814206,-0.078944842,-0.078471974,-0.094966112,-0.082597296,-0.07824402,-0.083900354,-0.082741506,-0.055217795,-0.047147402,-0.08828833,-0.071748245,-0.069420044,-0.088522529,-0.052992864,-0.07212081,-0.067711865,-0.09341071
12,tBodyGyro-mean()-Z,0.086264167,0.087259942,0.08668755,0.095717487,0.086626712,0.097313029,0.097767172,0.064086761,0.109092913,0.091026501,0.08728411,0.096074215,0.09886606,0.060671245,0.090665852,0.073014465,0.077025064,0.090840287,0.088360959,0.085628063,0.086121267,0.081240658,0.074694942,0.084174038,0.099360608,0.091785329,0.10894709,0.100840281,0.088162627,0.083454459,0.086362649,0.059893808,0.094678196,0.077777146,0.080142239,0.125885141
13,tBodyGyroJerk-mean()-X,-0.09711202,-0.087558749,-0.099155461,-0.107859316,-0.103522877,-0.082915997,-0.094203738,-0.104969855,-0.089225493,-0.10815083,-0.080547331,-0.073113438,-0.088118238,-0.107556127,-0.096091011,-0.107361615,-0.107854171,-0.094402958,-0.089593943,-0.094982179,-0.100558318,-0.109257562,-0.096699074,-0.099829425,-0.108263885,-0.098812563,-0.089306604,-0.088121355,-0.100707752,-0.092676901,-0.094300712,-0.112117465,-0.072853227,-0.095652106,-0.099729281,-0.101864299
14,tBodyGyroJerk-mean()-Y,-0.041716481,-0.043398684,-0.040192394,-0.040042757,-0.049062452,-0.045492101,-0.041440141,-0.040092224,-0.039734442,-0.042421998,-0.049391407,-0.043678823,-0.044083661,-0.043320049,-0.044127069,-0.041661567,-0.039171945,-0.044169187,-0.038320874,-0.041435612,-0.040823614,-0.038461622,-0.043272274,-0.039074942,-0.038988475,-0.0404764,-0.045041449,-0.04479726,-0.046432203,-0.041290378,-0.044570111,-0.038619267,-0.051263979,-0.040779781,-0.04231711,-0.038198085
15,tBodyGyroJerk-mean()-Z,-0.047139399,-0.055754183,-0.052117826,-0.05780893,-0.050625816,-0.053361032,-0.061030793,-0.058288715,-0.053402884,-0.055552128,-0.048014017,-0.057458504,-0.058271875,-0.045069384,-0.055564546,-0.053947041,-0.050849651,-0.056848257,-0.056964944,-0.054300128,-0.053386105,-0.058214429,-0.062195909,-0.055298768,-0.055578222,-0.055828274,-0.058625468,-0.060768071,-0.052785999,-0.049355618,-0.054006467,-0.052581028,-0.054696153,-0.050755528,-0.052095548,-0.06384982
16,tBodyAccMag-mean(),-0.453632944,-0.535281801,-0.563140803,-0.561582135,-0.460866416,-0.464770007,-0.511312037,-0.468522593,-0.505183471,-0.502500207,-0.542825033,-0.559586546,-0.539871637,-0.45326262,-0.527285352,-0.616131117,-0.568367244,-0.658370952,-0.531507362,-0.517257429,-0.62030926,-0.504099198,-0.532754757,-0.620032665,-0.58337775,-0.600932264,-0.627947737,-0.610030903,-0.553585593,-0.538131194,-0.167937854,-0.100204124,0.1012497,-0.954643921,-0.954179662,-0.941110657
17,tGravityAccMag-mean(),-0.453632944,-0.535281801,-0.563140803,-0.561582135,-0.460866416,-0.464770007,-0.511312037,-0.468522593,-0.505183471,-0.502500207,-0.542825033,-0.559586546,-0.539871637,-0.45326262,-0.527285352,-0.616131117,-0.568367244,-0.658370952,-0.531507362,-0.517257429,-0.62030926,-0.504099198,-0.532754757,-0.620032665,-0.58337775,-0.600932264,-0.627947737,-0.610030903,-0.553585593,-0.538131194,-0.167937854,-0.100204124,0.1012497,-0.954643921,-0.954179662,-0.941110657
18,tBodyAccJerkMag-mean(),-0.545431612,-0.587777445,-0.650182434,-0.656116312,-0.58931387,-0.551413652,-0.622815768,-0.534248617,-0.621608245,-0.577761931,-0.679819505,-0.630050492,-0.625466939,-0.60897342,-0.654799695,-0.72524687,-0.696465197,-0.753904677,-0.576225247,-0.619698757,-0.703461276,-0.60977283,-0.586400672,-0.713667424,-0.783445354,-0.694917859,-0.701807448,-0.689429388,-0.66453806,-0.697050127,-0.24145199,-0.390938625,-0.111801821,-0.982444443,-0.977118025,-0.979208755
19,tBodyGyroMag-mean(),-0.475404786,-0.614771055,-0.643150122,-0.656291094,-0.602770285,-0.549494852,-0.581899898,-0.476214944,-0.550201867,-0.521819802,-0.628367851,-0.631668059,-0.581215403,-0.416459777,-0.61772178,-0.718168776,-0.676185123,-0.714735669,-0.548919668,-0.516861236,-0.693779225,-0.637666108,-0.544207964,-0.682447213,-0.625733064,-0.694597663,-0.69401602,-0.648538641,-0.602228994,-0.510032754,-0.274866019,-0.178281148,-0.12978564,-0.946724139,-0.942152523,-0.938435972
20,tBodyGyroJerkMag-mean(),-0.639517433,-0.746559539,-0.784056656,-0.819191368,-0.707383518,-0.621936159,-0.713191348,-0.673625526,-0.762979581,-0.734465805,-0.826829028,-0.777294478,-0.712745036,-0.70052094,-0.80528267,-0.860446372,-0.810438233,-0.859899942,-0.683436542,-0.684048497,-0.807817403,-0.794681311,-0.623412642,-0.791646551,-0.849630706,-0.798325917,-0.823067662,-0.789294943,-0.802293906,-0.785870931,-0.460511517,-0.608047148,-0.416891551,-0.987880071,-0.978697092,-0.982726626
21,fBodyAcc-mean()-X,-0.531895161,-0.573770911,-0.62573329,-0.628806379,-0.551237705,-0.506174926,-0.593011289,-0.581831415,-0.579258404,-0.532289465,-0.619524028,-0.578920211,-0.638817913,-0.619513272,-0.583772317,-0.700885147,-0.651780424,-0.714227765,-0.587050355,-0.612641114,-0.693486097,-0.594929652,-0.599080886,-0.70761378,-0.74841651,-0.651090302,-0.681454796,-0.654156519,-0.579901,-0.635650125,-0.297890932,-0.293406752,0.035259669,-0.983091967,-0.981622305,-0.966812071
22,fBodyAcc-mean()-Y,-0.406435449,-0.432566581,-0.501779939,-0.525834566,-0.440232432,-0.39204141,-0.563547785,-0.374944236,-0.610267804,-0.494651474,-0.531455266,-0.523287079,-0.493467193,-0.455237617,-0.507735206,-0.671572147,-0.601741376,-0.663659667,-0.521888077,-0.426398722,-0.593778214,-0.508172778,-0.548483209,-0.611509043,-0.600027697,-0.610425833,-0.64126784,-0.5849325,-0.587686308,-0.55849001,-0.042339225,-0.134950514,0.056682654,-0.947917966,-0.943132377,-0.952678417
23,fBodyAcc-mean()-Z,-0.596411165,-0.630081222,-0.699656829,-0.755235429,-0.696171811,-0.683725945,-0.531005941,-0.550979389,-0.592119123,-0.655062273,-0.750026146,-0.726640315,-0.629736259,-0.440650672,-0.741745725,-0.660989948,-0.718947425,-0.761229192,-0.647026298,-0.665006946,-0.707713799,-0.687320961,-0.490212816,-0.655858995,-0.738509948,-0.724046087,-0.715482858,-0.715134474,-0.680547675,-0.634958547,-0.341840675,-0.368122061,-0.213729233,-0.957031035,-0.957359651,-0.96001802
24,fBodyAccJerk-mean()-X,-0.547348892,-0.56168205,-0.645893497,-0.652023078,-0.604769869,-0.549394274,-0.63752194,-0.591635009,-0.621377141,-0.54724304,-0.676672987,-0.599109318,-0.660082174,-0.654385009,-0.643469519,-0.744662042,-0.716681623,-0.750020077,-0.593157169,-0.652264227,-0.716414131,-0.604253202,-0.617521837,-0.752245372,-0.804144643,-0.699413168,-0.714554678,-0.686723799,-0.629875853,-0.685307771,-0.311127438,-0.389896773,-0.072296776,-0.985188769,-0.980008694,-0.980197655
25,fBodyAccJerk-mean()-Y,-0.507343618,-0.508903799,-0.582949919,-0.601696224,-0.55099197,-0.503558974,-0.641687334,-0.495906216,-0.699766615,-0.555104554,-0.632374689,-0.591296423,-0.60334049,-0.598699531,-0.609408057,-0.748627002,-0.694754838,-0.744113445,-0.596694944,-0.557791286,-0.678615119,-0.574318114,-0.628231338,-0.703641615,-0.740570312,-0.696726474,-0.694509658,-0.670718096,-0.641289076,-0.671673671,-0.170395066,-0.36466684,-0.116380593,-0.97398819,-0.964547422,-0.971383629
26,fBodyAccJerk-mean()-Z,-0.695305114,-0.71574533,-0.780101644,-0.825154871,-0.768762358,-0.720867158,-0.642515717,-0.644285802,-0.702931928,-0.721689701,-0.82555959,-0.775426583,-0.71083173,-0.618712162,-0.805543466,-0.752302172,-0.802528786,-0.833032083,-0.680924493,-0.732835649,-0.767351987,-0.739701808,-0.57887081,-0.719655747,-0.849504849,-0.769565291,-0.768574452,-0.77906172,-0.768433928,-0.755432213,-0.451010514,-0.591670062,-0.33319028,-0.979561972,-0.976157839,-0.97661453
27,fBodyGyro-mean()-X,-0.623219182,-0.638717695,-0.64209772,-0.641881978,-0.632239301,-0.537201442,-0.643767578,-0.601382421,-0.63986322,-0.620379209,-0.709949332,-0.661246826,-0.658642421,-0.699166401,-0.664354429,-0.789780147,-0.728710411,-0.787757638,-0.553089576,-0.626445371,-0.752040829,-0.639575654,-0.685136502,-0.722607378,-0.672197764,-0.703109561,-0.768505711,-0.674356656,-0.685747413,-0.667418237,-0.348237371,-0.394248174,-0.217922876,-0.977267261,-0.943654258,-0.962915036
28,fBodyGyro-mean()-Y,-0.505309434,-0.722068979,-0.775144985,-0.831527531,-0.717062188,-0.621188725,-0.630419275,-0.575938483,-0.683924288,-0.648350595,-0.776852869,-0.744798148,-0.647152818,-0.50463317,-0.760711411,-0.81596213,-0.774745259,-0.81638588,-0.6413373,-0.591039733,-0.759325715,-0.791399746,-0.497783811,-0.75371048,-0.813133792,-0.799353075,-0.795433954,-0.747067908,-0.735972302,-0.629910666,-0.388384886,-0.459253469,-0.317592694,-0.972457593,-0.965302754,-0.967582059
29,fBodyGyro-mean()-Z,-0.553529065,-0.60159489,-0.670734709,-0.689308946,-0.537329127,-0.507604208,-0.655083355,-0.525562919,-0.612680463,-0.567456662,-0.708842979,-0.657369915,-0.620471227,-0.423918214,-0.71119454,-0.756286642,-0.726857841,-0.755926771,-0.602625308,-0.518444509,-0.70947142,-0.64336334,-0.617685417,-0.709488577,-0.746832214,-0.689404847,-0.702788513,-0.673513887,-0.689221358,-0.615699348,-0.310406243,-0.296857722,-0.165625145,-0.961028717,-0.958384989,-0.964184423
30,fBodyAccMag-mean(),-0.478448523,-0.514569861,-0.579076454,-0.602098038,-0.528503023,-0.473974924,-0.518323879,-0.512106793,-0.553186448,-0.518734047,-0.611528074,-0.559283677,-0.589928109,-0.49087418,-0.562948391,-0.666962508,-0.646189155,-0.697732862,-0.556404445,-0.560278889,-0.65866472,-0.574333165,-0.529029284,-0.650121872,-0.69501971,-0.631756983,-0.667185804,-0.628763247,-0.589294015,-0.600372067,-0.275558097,-0.262028113,0.142849426,-0.952410413,-0.955868099,-0.947672712
31,fBodyBodyAccJerkMag-mean(),-0.499075766,-0.509746433,-0.604752108,-0.635019005,-0.573176177,-0.494882316,-0.55336001,-0.529244911,-0.609193722,-0.515140811,-0.656133473,-0.564239194,-0.607295296,-0.596896309,-0.614817605,-0.713167614,-0.697575559,-0.742323822,-0.576064648,-0.584571447,-0.679742585,-0.585442502,-0.542663319,-0.696845583,-0.779190076,-0.679278324,-0.688572791,-0.67542872,-0.609879937,-0.656339724,-0.214653972,-0.353962,0.004762459,-0.97868437,-0.971090424,-0.974300115
32,fBodyBodyGyroMag-mean(),-0.53500277,-0.699742945,-0.716822144,-0.745650755,-0.677355756,-0.579130051,-0.628877273,-0.609984289,-0.700863098,-0.661496553,-0.75758594,-0.717311677,-0.652225307,-0.543030529,-0.732394494,-0.817128819,-0.769498551,-0.816286627,-0.636288,-0.606970915,-0.77647306,-0.72816677,-0.534657192,-0.754131617,-0.75423611,-0.770504885,-0.78595361,-0.737908092,-0.722018435,-0.669600511,-0.409173038,-0.449781383,-0.289525833,-0.964296114,-0.947908499,-0.954854458
33,fBodyBodyGyroJerkMag-mean(),-0.645970655,-0.751615078,-0.810085499,-0.83883321,-0.74882931,-0.651886909,-0.668879188,-0.702156215,-0.786473954,-0.767780095,-0.864827011,-0.789902851,-0.712054367,-0.717590102,-0.836801894,-0.872772283,-0.829124468,-0.884663023,-0.719519009,-0.692638076,-0.826275026,-0.830191957,-0.58411105,-0.795019165,-0.875970675,-0.823865297,-0.837586,-0.806882152,-0.840464164,-0.811292332,-0.515516844,-0.658694456,-0.43800729,-0.985335633,-0.97488598,-0.97796824
34,tBodyAcc-std()-X,-0.545795331,-0.605586497,-0.623413602,-0.605211728,-0.507691011,-0.505086085,-0.577518325,-0.582958863,-0.555656545,-0.537807711,-0.589476498,-0.583962207,-0.62484446,-0.611671118,-0.556541173,-0.668161498,-0.608455244,-0.694616885,-0.574658923,-0.604846695,-0.672323867,-0.546089976,-0.62259404,-0.675459176,-0.716264538,-0.623101031,-0.660976085,-0.649040391,-0.574295395,-0.615890785,-0.314644454,-0.237989748,0.100766331,-0.983446222,-0.984434712,-0.960932405
35,tBodyAcc-std()-Y,-0.367716218,-0.428962987,-0.480015921,-0.509929384,-0.402724906,-0.36840367,-0.546403365,-0.349383732,-0.575887895,-0.497405886,-0.490379347,-0.522040023,-0.448816098,-0.374730765,-0.481679538,-0.649947068,-0.567005319,-0.627117507,-0.507035085,-0.369336707,-0.56558519,-0.491188426,-0.532078547,-0.582490655,-0.531421036,-0.585967142,-0.630460489,-0.573651896,-0.598400276,-0.519047388,-0.023582946,-0.016032512,0.059548623,-0.934880563,-0.932508714,-0.943507186
36,tBodyAcc-std()-Z,-0.502645747,-0.589360062,-0.653625579,-0.709492736,-0.64644364,-0.672512005,-0.456473642,-0.499472688,-0.506111776,-0.614776952,-0.665324314,-0.699293531,-0.587230562,-0.293542715,-0.705706624,-0.603819902,-0.660582756,-0.70159604,-0.649184727,-0.634787347,-0.669621813,-0.655089679,-0.450557203,-0.636497459,-0.647095561,-0.704980627,-0.683215326,-0.685821415,-0.606461284,-0.522643274,-0.273920799,-0.1754497,-0.190804507,-0.938981581,-0.939913505,-0.9480693
37,tGravityAcc-std()-X,-0.959859436,-0.963015508,-0.966457566,-0.962636979,-0.964629109,-0.958898709,-0.956538179,-0.954256666,-0.958784666,-0.965808126,-0.975394458,-0.967383434,-0.967268063,-0.941245715,-0.968733399,-0.971156432,-0.971771653,-0.980138676,-0.958290448,-0.958201863,-0.965586634,-0.958504464,-0.96439304,-0.9753297,-0.950017091,-0.9678179,-0.974620173,-0.973873328,-0.973282886,-0.974319119,-0.977612074,-0.948191332,-0.949748839,-0.97968223,-0.988015177,-0.943319728
38,tGravityAcc-std()-Y,-0.951150627,-0.96003356,-0.944564537,-0.9414168,-0.939973778,-0.950934886,-0.955312554,-0.94844645,-0.949938115,-0.954524073,-0.957138771,-0.960572908,-0.953540717,-0.942377305,-0.956369494,-0.96472752,-0.958810046,-0.96954203,-0.959253834,-0.952506793,-0.969330818,-0.957323093,-0.960318907,-0.960898167,-0.901088771,-0.959713562,-0.972505175,-0.960365626,-0.964643161,-0.952288293,-0.966903876,-0.925549272,-0.934266079,-0.95767274,-0.96935177,-0.963191706
39,tGravityAcc-std()-Z,-0.925817591,-0.945365384,-0.926966278,-0.941403426,-0.942078679,-0.937910224,-0.923304724,-0.923180664,-0.920554318,-0.938706428,-0.956812,-0.946808564,-0.93872788,-0.915927846,-0.947240058,-0.945294029,-0.949039214,-0.959434178,-0.941800285,-0.940981538,-0.953093993,-0.939081026,-0.934236147,-0.955724566,-0.880682331,-0.955643364,-0.959200394,-0.946225637,-0.94162179,-0.929432635,-0.954597565,-0.901905618,-0.912460555,-0.947357439,-0.953082526,-0.951868724
40,tBodyAccJerk-std()-X,-0.524721923,-0.557809603,-0.635484688,-0.631853083,-0.575890536,-0.53146831,-0.615131377,-0.575993074,-0.578305161,-0.529383214,-0.659323083,-0.582418268,-0.638889533,-0.641964199,-0.624055782,-0.727861744,-0.682603096,-0.73464445,-0.571088266,-0.627098831,-0.699763344,-0.584963757,-0.608183752,-0.740300545,-0.79682335,-0.682815653,-0.700549974,-0.680813725,-0.623456414,-0.679007254,-0.267288163,-0.360863432,-0.033882647,-0.984997226,-0.979968556,-0.980381809
41,tBodyAccJerk-std()-Y,-0.470412404,-0.49187589,-0.557211868,-0.584063205,-0.506544359,-0.454437497,-0.622997416,-0.458724925,-0.678923872,-0.540236619,-0.608784227,-0.571359817,-0.569700547,-0.586459623,-0.594312678,-0.735080198,-0.668693821,-0.732969175,-0.57131119,-0.527174602,-0.665159123,-0.560470117,-0.618981231,-0.685979796,-0.722502919,-0.678386582,-0.674792293,-0.651619849,-0.63549978,-0.660770554,-0.103141139,-0.339226497,-0.073674406,-0.973883161,-0.964342752,-0.971147568
42,tBodyAccJerk-std()-Z,-0.717322275,-0.741885388,-0.79606624,-0.843353231,-0.784561995,-0.738955208,-0.664336861,-0.668356785,-0.721610095,-0.750729261,-0.842511816,-0.792621936,-0.728452966,-0.656855586,-0.825820882,-0.767873049,-0.813339561,-0.847257766,-0.705342976,-0.747362573,-0.781823901,-0.760468444,-0.60304877,-0.736374233,-0.860669383,-0.778349461,-0.783632077,-0.800870582,-0.793746798,-0.781644485,-0.479147121,-0.62706365,-0.388666069,-0.982296487,-0.979485931,-0.979476596
43,tBodyGyro-std()-X,-0.686555715,-0.710648928,-0.699262196,-0.701397703,-0.709955677,-0.65380066,-0.687155474,-0.656219242,-0.676452393,-0.673905582,-0.739922127,-0.727881705,-0.71510986,-0.728661379,-0.696859473,-0.79953445,-0.75901112,-0.804533729,-0.637789915,-0.684586332,-0.796172287,-0.695919203,-0.755738625,-0.77619905,-0.683131971,-0.76667397,-0.795853557,-0.740276592,-0.734699274,-0.671005846,-0.469914839,-0.467607138,-0.333817475,-0.981022213,-0.945528363,-0.967892433
44,tBodyGyro-std()-Y,-0.45097981,-0.722943674,-0.763022182,-0.798235749,-0.705638307,-0.626252073,-0.652408658,-0.570941237,-0.670498221,-0.591333155,-0.703501766,-0.735062826,-0.645728612,-0.398959363,-0.708779069,-0.810124134,-0.764867041,-0.777361714,-0.643866301,-0.573677383,-0.765057761,-0.784052281,-0.500338191,-0.763365457,-0.752261013,-0.800675471,-0.802048719,-0.74128554,-0.634569173,-0.538990664,-0.347921806,-0.344231807,-0.339631377,-0.966708127,-0.961293279,-0.963192469
45,tBodyGyro-std()-Z,-0.597496137,-0.634888928,-0.70948344,-0.726374197,-0.606589817,-0.599910233,-0.66334076,-0.511392038,-0.587557692,-0.598142329,-0.725016009,-0.671057679,-0.643337285,-0.364478193,-0.721826988,-0.737629968,-0.720741039,-0.745612483,-0.645682212,-0.52727797,-0.701642028,-0.654458016,-0.609683452,-0.708251676,-0.74741022,-0.703347206,-0.674128512,-0.669789663,-0.713864584,-0.589783442,-0.338448613,-0.237136761,-0.272809911,-0.958007497,-0.957053051,-0.963509228
46,tBodyGyroJerk-std()-X,-0.637812687,-0.671679103,-0.689328429,-0.723788618,-0.66258131,-0.546009968,-0.7017312,-0.674984452,-0.761710867,-0.7032435,-0.781738141,-0.709726149,-0.71577298,-0.786291733,-0.731382711,-0.858298719,-0.788387982,-0.842893478,-0.618836207,-0.698354146,-0.792483157,-0.70889871,-0.728692138,-0.764490031,-0.768682473,-0.732321371,-0.821075833,-0.720515676,-0.736117664,-0.78063643,-0.376221403,-0.553132758,-0.382689772,-0.985705128,-0.966957943,-0.976124814
47,tBodyGyroJerk-std()-Y,-0.634472245,-0.783595467,-0.842659862,-0.902502593,-0.77411427,-0.677635981,-0.674920115,-0.68308693,-0.773273879,-0.768641779,-0.868377254,-0.811232599,-0.718988592,-0.697915531,-0.853956592,-0.869573121,-0.825988663,-0.884050473,-0.725991381,-0.684280686,-0.815859336,-0.85992442,-0.546043594,-0.792718702,-0.902628081,-0.836112175,-0.837320211,-0.825038783,-0.853639613,-0.798948073,-0.512619068,-0.667339157,-0.465943811,-0.986502339,-0.980263299,-0.980473581
48,tBodyGyroJerk-std()-Z,-0.664591978,-0.674611933,-0.743028501,-0.748369141,-0.564680771,-0.526908306,-0.750808706,-0.695970302,-0.744656038,-0.686800253,-0.795490882,-0.74935186,-0.712716428,-0.638299065,-0.795626198,-0.837039926,-0.808251303,-0.838614663,-0.686684584,-0.636715879,-0.812017312,-0.742272775,-0.740518146,-0.796816517,-0.831848667,-0.773101525,-0.782945589,-0.769755981,-0.770221314,-0.763228547,-0.447427245,-0.560989211,-0.326455992,-0.983805514,-0.977067117,-0.984782526
49,tBodyAccMag-std(),-0.497096402,-0.552812546,-0.59122478,-0.60655605,-0.521623452,-0.483790606,-0.510669879,-0.554038979,-0.553038255,-0.545348811,-0.612882271,-0.574386494,-0.597230982,-0.474058613,-0.557147874,-0.66171969,-0.636074478,-0.68967189,-0.599552767,-0.57232582,-0.660196015,-0.595953854,-0.565575626,-0.650862148,-0.659015506,-0.620355789,-0.677874152,-0.635821227,-0.579067216,-0.588158112,-0.337753986,-0.249875157,0.116488914,-0.939324188,-0.946534779,-0.932160021
50,tGravityAccMag-std(),-0.497096402,-0.552812546,-0.59122478,-0.60655605,-0.521623452,-0.483790606,-0.510669879,-0.554038979,-0.553038255,-0.545348811,-0.612882271,-0.574386494,-0.597230982,-0.474058613,-0.557147874,-0.66171969,-0.636074478,-0.68967189,-0.599552767,-0.57232582,-0.660196015,-0.595953854,-0.565575626,-0.650862148,-0.659015506,-0.620355789,-0.677874152,-0.635821227,-0.579067216,-0.588158112,-0.337753986,-0.249875157,0.116488914,-0.939324188,-0.946534779,-0.932160021
51,tBodyAccJerkMag-std(),-0.515922168,-0.512115278,-0.607658214,-0.647249967,-0.589031268,-0.502935062,-0.550560231,-0.564472,-0.608862145,-0.52934048,-0.66424176,-0.566365684,-0.61024854,-0.60514427,-0.625660377,-0.719647028,-0.693946395,-0.745212813,-0.601918553,-0.588644307,-0.680069219,-0.58982314,-0.558725314,-0.689391189,-0.780451868,-0.677426336,-0.696003354,-0.687703434,-0.62047205,-0.658972148,-0.214555894,-0.385400352,-0.011220666,-0.978907079,-0.971452977,-0.974240574
